latitude,longitude,bezeichnung,art,kuenstler,entstehung,foto_wikipedia
54.090739002749352,12.142511012084242,Szenen aus dem Arbeitsleben â€“ Landwirtschaft,Scraffito,Heinz Becker,1953,http://de.wikipedia.org/w/index.php?title=Datei:Kraemerstrasse10.jpg
54.090542002749402,12.142016012084429,Szenen aus dem Arbeitsleben â€“ Lehre und Forschung,Scraffito,Heinz Becker,1953,http://de.wikipedia.org/w/index.php?title=Datei:Kraemerstrasse8.jpg
54.077647002752535,12.125189012091072,Tanz in den Wolken,Sandsteinplastik,Laurids Kirkegaard,1989,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Stadthalle_Sandsteinskulptur11.jpg
54.084543002753577,12.100356012101468,Thema Medizin,Kunststeinrelief,Arnd Wittig,1956/57,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Wittig_Relief_Medizin.jpg
54.078057002752388,12.126605012090499,Thor,Sandsteinplastik,Lars Wulcan,1989,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Stadthalle_Sandsteinskulptur8.jpg
54.091830002749802,12.135355012087196,TÃ¶pfer,Keramikrelief,Christiane Lamberz,1982,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Wokrenterstrasse_Toepfer.jpg
54.082644002750584,12.140632012084822,Turm vom kleinen LebensglÃ¼ck,Betondurchbruchrelief,"Reinhard Schmidt, Jo Jastram und Reinhard Dietrich",1981,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Relief_Kleines_Glueck.jpg
54.096422002752917,12.088208012106739,Turnende Knaben,Bronzeplastik,Siegfried Krepp,,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Turnende_Knaben.jpg
54.078431002751039,12.142180012084095,Tympanongestaltung,Keramikrelief,Margarete Scheel,nach 1926,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Bluecherstrasse_Scheel.jpg
54.074980002752902,12.125301012090969,Unterwegs,Sandsteinrelief,Thomas Jastram,1998,http://de.wikipedia.org/w/index.php?title=Datei:%22Unterwegs%22_-_Thomas_Jastram_S%C3%BCdstadt_Rostock_.JPG
54.088034002750057,12.138391012085876,Vicke-Schorler-Rolle,Bronzerelief,Jo Jastram,2006,http://de.wikipedia.org/w/index.php?title=Datei:Vicke_Schorler-Glatter_Aal.JPG
54.084034002750691,12.13737601208619,Vier weibliche Gestalten,Kunststeinreliefs,Margarete Scheel,nach 1916,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Scheelhaus_Reliefs1.jpg
54.143356002748632,12.058685012120021,Voranschreitende,Bronzeplastik,Reinhard Schmidt,1972,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Lichtenhagen_Voranschreitende.jpg
54.091773002749747,12.136144012086875,Wandgestaltung fÃ¼r Kinder,Keramikwandbild,Erich Nitzsche,,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Lagerstrasse_Wandbild.jpg
54.179068002742454,12.077858012112918,Wandrelief am Hotel Neptun,Schieferstrukturwand,Jo Jastram,1971,http://de.wikipedia.org/w/index.php?title=Datei:Warnemuende_Neptunhotel_Jastram.jpg
54.17672000274203,12.088189012108588,Wappen an der WarnemÃ¼nder Vogtei,Wappenrelief,,1605,http://de.wikipedia.org/w/index.php?title=Datei:Warnemuende_Vogtei_Wappen.jpg
54.089593002749957,12.137092012086431,Wasserbalken,Edelstahlbalken auf Granit,Reinhard Buch,1999,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Balken_Faule_Grube.jpg
54.087440002750633,12.132540012088269,Wasserschale mit drei Figuren,Bronzeschale auf Serpentinsockel,Wolfgang Friedrich,1999,
54.087479002749646,12.143922012083582,Wasserspeier an der LikÃ¶rfabrik KrahnstÃ¶ver,Eisengussplastik,,19. Jahrhundert,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Wasserspeier_Kranstoever.jpg
54.090717002751418,12.11727801209463,Wasserspiel,Edelstahlplastik,Gottfried BÃ¼ttner,2004,http://de.wikipedia.org/w/index.php?title=Datei:Wasserspiel_Volkstheater_Rostock.jpg
54.080029002756483,12.06922201211423,Weibliche Gewandfigur,Bronzeplastik,Karl Lemke,1995,http://de.wikipedia.org/w/index.php?title=Datei:Gewandfigur_Westfriedhof_Rostock.jpg
54.18043500274198,12.08223101211113,Windspiel,Edelstahlmobile,Gottfried BÃ¼ttner,1979,http://de.wikipedia.org/w/index.php?title=Datei:Warnemuende_Windspiel.jpg
54.084587393571937,12.10038033264404,Zwei Matrosen und ein Segelschiff,Sandsteinrelief,Hans Matthies,1954,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Wallstrasse_Matrosen.jpg
54.090713002749709,12.138139012086032,Zwei Reliefmedaillons,Betonstuckrelief,Anne Sewcz,1987,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Burgwall_Reliefs.jpg
