latitude,longitude,bezeichnung,art,kuenstler,entstehung,foto_wikipedia
54.080317002755507,12.082163012108881,EisbÃ¤rin mit Jungtier,Sandsteinplastik,Olga Kulikowa,1989,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Zoo_Eisbaeren.jpg
54.08379500275273,12.112429012096472,Erholung,Kunststeinplastik,Margarete Scheel,1926,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Scheel_Erholung.jpg
54.09804600275281,12.08619801210761,Eselreiter,Bronzeplastik,Gerhard Rommel,1969,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Schwanenteich2.jpg
54.088491002750366,12.134020012087678,Eule,Terrakottaplastik,Reinhard Dietrich,1986,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Fuenfgiebelhaus_Eule.jpg
54.178676002742343,12.080245012111911,Eurydike,Bronzeplastik,Thomas Jastram,2001,http://de.wikipedia.org/w/index.php?title=Datei:Warnemuende_Maedchen_Kurhaus.jpg
54.071951002754766,12.106950012098469,Familie (1),Bronzeplastik,Thomas Jastram,1999,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Suedstadt_Klinikum1.jpg
54.072315002754728,12.106728012098568,Familie (2),Bronzeplastik,Thomas Jastram,1999,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Suedstadt_Klinikum2.jpg
54.084325002752678,12.112733012096356,"Farbe, Eisen, Holz & Stein",Kunststeinplastiken,Margarete Scheel,1926,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Scheel_Eisen.jpg
54.173610002742187,12.091603012107102,Felix,Metallplastik,Felix BÃ¼ttner,2002,http://de.wikipedia.org/w/index.php?title=Datei:Warnemuende_Buettner.jpg
54.088540002750314,12.134583012087443,Figurenumlauf,Bronzeplastik,Wolfgang Friedrich,1989,
54.088698002750341,12.13398701208769,Fisch,Keramikplastik,Lothar Sell,1986,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Fuenfgiebelhaus_Fisch_mit_Beinen.jpg
54.088501002750327,12.134382012087535,Fische,KeramiksÃ¤ule,Lothar Sell,1985,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Fuenfgiebelhaus_Saeule.jpg
54.098418002753547,12.075754012111949,"Fische, Anker, VÃ¶gel, Blumen",Relief,Heinz Becker,1950er Jahre,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Reutershagen_Becker.jpg
54.090382002749138,12.145182012083129,Fischer,Relief,Irmfried Liebscher,1950er Jahre,http://de.wikipedia.org/w/index.php?title=Datei:Hartestrasse.jpg
54.096545002752627,12.091541012105367,Fischerjunge,Sandsteinreliefplastik,Paul Wallat,1938,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Fischerjunge.jpg
54.129052002750889,12.054101012121597,Flamingo und Kranich,Bronzeplastik,Gustav-Martin Hoffmann,1976,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Fischerdorf_Flamingo.jpg
54.086610002750469,12.135674012086948,FleiÃŸ,Scraffito,,19. Jahrhundert,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Scraffito_Fleiss.jpg
54.087472002749436,12.146378012082568,FlÃ¼gel,Bronzeplastik,Margret Middell,2003,http://de.wikipedia.org/w/index.php?title=Datei:Nikolaikirche_Fluegel.jpg
54.088491002750366,12.134020012087678,Frau am Fenster,Terrakottaplastiken,Reinhard Dietrich,1986,http://de.wikipedia.org/w/index.php?title=Datei:Fuenfgiebelhaus_Terrakotta.jpg
54.077888002752488,12.125670012090875,Frau am Meer,Sandsteinplastik,Simo Helenius,1989,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Stadthalle_Sandsteinskulptur10.jpg
54.177721002742267,12.083131012110693,Frauenfigur,Bronzeplastik,Karl-Heinz Schamal,1961/68,http://de.wikipedia.org/w/index.php?title=Datei:Warnemuende_Kurpark_Frauenfigur.jpg
54.089686002749275,12.144858012083244,Frauen mit spielenden Kindern,Scraffito,Heinz Becker,1950er Jahre,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Becker_Spielende_Kinder.jpg
54.177082002741642,12.092966012106622,FÃ¼nf Kontinente,Metallplastiken,"Wolfgang Friedrich, Klaus J. Albert und Wilfried Homuth",1994,http://de.wikipedia.org/w/index.php?title=Datei:Warnemuende_Fuenf_Kontinente.jpg
54.091047002749299,12.142475012084251,Gebautes und Gewachsenes,Eichenholzplastik,Susanne Rast und Dirk Wunderlich,1998,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Gebautes_und_Gewachsenes.jpg
54.087907002752907,12.103378012100288,"Geistesschaffender, Fabrikarbeiter",Zementgussreliefmedaillons,Margarete Scheel,1935,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Scheel_Reliefs1.jpg
54.087794002751117,12.125980012090976,Gewandfigur,Sandsteinplastik,Thomas Jastram,1987,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Jastram_Gewandfigur.jpg
54.079486002751416,12.135781012086758,Giebelrosette,Baukeramik,Erich Nitzsche,1986/87,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Kuelzplatz_Giebelrosette.jpg
54.081104002756277,12.07011901211388,Giraffen,Bronzeplastik,Hans-Detlev Hennig,1979/80,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Am_Westfriedhof_Giraffen.jpg
