0;0
0;0
0;0
0;0
149;33
145;40
141;45
137;49
135;51
132;52
130;54
127;54
124;55
121;56
115;56
110;56
110;56
104;56
100;56
98;56
97;55
97;54
97;54
96;54
95;53
94;52
91;51
85;50
74;48
57;46
41;45
23;43
11;43
5;43
2;43
0;43
0;44
0;44
0;46
0;50
0;58
2;71
5;83
7;92
8;99
11;108
13;118
16;140
18;164
20;190
22;207
25;232
27;257
29;276
31;303
35;328
37;341
39;352
40;360
40;364
40;371
40;387
40;408
40;424
40;437
40;443
40;446
40;446
40;446
40;446
42;446
47;445
55;444
65;442
76;440
93;433
114;425
129;417
151;402
168;392
185;379
202;368
202;368
215;359
232;347
242;340
257;331
277;319
294;308
311;297
330;283
349;265
361;252
374;234
384;213
393;188
398;169
400;157
400;146
400;140
400;135
397;128
392;118
386;108
377;96
369;87
362;80
351;76
339;74
323;73
303;73
282;73
266;73
250;77
240;81
230;87
223;94
216;103
208;114
199;135
193;150
193;150
189;163
185;180
185;186
185;195
187;207
201;220
237;244
264;261
299;283
318;295
334;308
346;319
353;331
360;341
364;357
366;368
368;382
368;391
368;398
364;402
357;408
347;415
328;422
309;427
272;431
253;431
230;431
214;431
207;430
201;428
199;426
194;419
193;415
190;406
188;400
187;393
187;393
186;384
186;370
191;359
203;336
210;325
227;303
244;287
263;269
277;257
292;246
304;236
314;229
323;219
335;205
344;189
349;179
353;166
355;157
356;150
356;143
356;134
356;124
350;104
343;88
328;67
312;53
300;44
277;30
260;24
240;19
221;15
197;15
175;15
153;15
136;19
128;20
119;21
111;22
106;23
100;23
96;23
92;23
85;23
85;23
79;23
75;23
70;23
65;23
59;22
53;21
49;20
44;19
41;18
39;15
36;14
34;13
33;12
32;11
31;10
30;8
29;7
27;6
26;5
25;4
25;4
25;3
25;3
25;3
24;2
23;2
23;1
23;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
